Operator Name,Certificate #,State,FAA Office,Phone,Email,Contacted,Notes
"BARBER, JACK B",JKGC,Alaska,AL03 - Anchorage  (ANC),,,No,
"BAY AIR, INC",ZXSC,Alaska,AL03 - Anchorage  (ANC),,,No,
"BEAR MOUNTAIN  AIR, LLC",Q9LC,Alaska,AL03 - Anchorage  (ANC),,,No,
BIDZY TA HOT AANA CORP,BTHA,Alaska,AL03 - Anchorage  (ANC),,,No,
BIG RIVER VENTURES LLC,8G1C,Alaska,AL01 - Fairbanks (FAI),,,No,
BIRCHWOOD AIR TAXI LLC,BWAC,Alaska,AL03 - Anchorage  (ANC),,,No,
BIRCHWOOD AIRCRAFT SERVICES LLC,BVZC,Alaska,AL01 - Fairbanks (FAI),,,No,
BRISTOL BAY AIR SERVICE INC,B9BC,Alaska,AL03 - Anchorage  (ANC),,,No,
BUSH AIR CARGO INC,Q0BC,Alaska,AL03 - Anchorage  (ANC),,,No,
BUSH HOPPERS LLC,2BPC,Alaska,AL03 - Anchorage  (ANC),,,No,
BUSH WINGS AIR SERVICE INC,B9VC,Alaska,AL03 - Anchorage  (ANC),,,No,
"Bald Mountain Air Service, Inc",YQPA,Alaska,AL05 - Juneau (JNU),,,No,
"Baranautica Air Service, LLC",845A,Alaska,AL05 - Juneau (JNU),,,No,
"Beluga Air, LLC",EPQA,Alaska,AL05 - Juneau (JNU),,,No,
"Bering Air, Inc.",FXTA,Alaska,AL01 - Fairbanks (FAI),,,No,
"Beryl Air, LLC",5BYA,Alaska,AL05 - Juneau (JNU),,,No,
Bettles Air Service,IKDC,Alaska,AL01 - Fairbanks (FAI),,,No,
"Branch River Air Service, Inc",EQWA,Alaska,AL03 - Anchorage  (ANC),,,No,
"Braswell, Jerrold W.",J3XC,Alaska,AL03 - Anchorage  (ANC),,,No,
Brooks Flyers LLC.,X9ZC,Alaska,AL03 - Anchorage  (ANC),,,No,
Bushwacker Air Service,1BUC,Alaska,AL01 - Fairbanks (FAI),,,No,
CLEARWATER AIR INC,LAMA,Alaska,AL03 - Anchorage  (ANC),,,No,
COPPER VALLEY AIR SERVICE LLC,EAXA,Alaska,AL03 - Anchorage  (ANC),,,No,
COUPCHIAK AVIATION INC,CVKC,Alaska,AL03 - Anchorage  (ANC),,,No,
"Caliber Air, LLC",41BA,Alaska,AL03 - Anchorage  (ANC),,,No,
"Cambier, Troy L.",E1RC,Alaska,AL01 - Fairbanks (FAI),,,No,
"Chordline Aviation, LLC",5CDA,Alaska,AL05 - Juneau (JNU),,,No,
"Coastal Air, LLC",5CLA,Alaska,AL03 - Anchorage  (ANC),,,No,
"Coastal Helicopters, Inc",XCHA,Alaska,AL05 - Juneau (JNU),,,No,
"Coastal Seaplanes Service, Inc.",M5KA,Alaska,AL05 - Juneau (JNU),,,No,
"Coldfoot Air, LLC",4GOC,Alaska,AL01 - Fairbanks (FAI),,,No,
"Cook Inlet Aviation, LLC",6COA,Alaska,AL05 - Juneau (JNU),,,No,
"Copper River Air Taxi, LLC",L99A,Alaska,AL03 - Anchorage  (ANC),,,No,
"Cordova Air Service, Inc",ORDA,Alaska,AL05 - Juneau (JNU),,,No,
Coyote Air LLC,CY6A,Alaska,AL01 - Fairbanks (FAI),,,No,
"Craig Air, Inc.",VDQC,Alaska,AL03 - Anchorage  (ANC),,,No,
Crow Creek Air Service LLC,3CKA,Alaska,AL03 - Anchorage  (ANC),,,No,
"D Air, LLC",5DAA,Alaska,AL05 - Juneau (JNU),,,No,
"DARDEN, DONALD E",EQRC,Alaska,AL03 - Anchorage  (ANC),,,No,
DAVIDSON AVIATION LLC,3DDA,Alaska,AL03 - Anchorage  (ANC),,,No,
DEHAAN AVIATION LLC,DHNC,Alaska,AL03 - Anchorage  (ANC),,,No,
DENA'INA AIR TAXI LLC,J95A,Alaska,AL03 - Anchorage  (ANC),,,No,
DENALI AIR INC,DLIA,Alaska,AL03 - Anchorage  (ANC),,,No,
DFS Alaska LLC.,D08C,Alaska,AL03 - Anchorage  (ANC),,,No,
DIOAIR LLC,3D3C,Alaska,AL01 - Fairbanks (FAI),,,No,
"Deckload Aviation, LLC",8DOC,Alaska,AL05 - Juneau (JNU),,,No,
"Denali Flying Service, LLC",LBJA,Alaska,AL05 - Juneau (JNU),,,No,
"Desert Air Transport, Inc.",D7TA,Alaska,AL03 - Anchorage  (ANC),,,No,
